title,doi
Measurement of rotational relaxation in the ground state of methane perturbed by argon at low temperature,10.1016/s0022-4073(97)00194-5
High sensitivity methane analyzer based on tuned near infrared diode laser,10.1016/s1386-1425(99)00080-3
Cw cavity ring-down infrared absorption spectroscopy in pulsed supersonic jets: nitrous oxide and methane,10.1016/s0009-2614(99)01071-4
Carbon kinetic isotope effect in the reaction CH4+Cl: a relative rate study using FTIR spectroscopy,10.1016/s0009-2614(99)00243-2
SPECTROSCOPY AND NON-EQUILIBRIUM DISTRIBUTION OF VIBRATIONALLY EXCITED METHANE IN A SUPERSONIC JET,10.1016/s0022-4073(97)00210-0
Simultaneous Determination of Force Constants and Dipole Moment Derivatives of Methane,10.1006/jmsp.1998.7575
Line Intensities and Self-Broadening Coefficients for Methane Lines between 5500 and 6180 cm−1Retrieved with a Multispectrum Fitting Technique,10.1006/jmsp.1998.7647
High-Resolution FTIR Spectroscopy Using a Jet: Sampling the Rovibrational Spectrum of12CH4,10.1006/jmsp.1997.7462
"SUBMILLIMETER, MILLIMETER, AND MICROWAVE SPECTRAL LINE CATALOG",10.1016/s0022-4073(98)00091-0
Argon-broadened line parameters in the v3 band of 12CH4,10.1016/s0022-4073(96)00131-8
N2 and Ar broadening and line mixing in the P and R branches of the v3 band of CH4,10.1016/s0022-4073(96)00130-6
High-resolution laser spectroscopy of methane clusters trapped in solid parahydrogen,10.1063/1.475086
The High Resolution Infrared Spectrum of CH3D in the Region 900–1700 cm−1,10.1006/jmsp.1997.7303
The Hot Bands of Methane between 5 and 10 μm,10.1006/jmsp.1996.0254
Coriolis-dependent Stark effect of the 2ν3 band of methane observed by saturated absorption spectroscopy,10.1063/1.472737
Absorption coefficients for the 727 nm band of methane at 77 K determined by intracavity laser spectroscopy,10.1007/bf00644324
Effect of oxygen on methyl radical concentrations in a CH4/H2 chemical vapor deposition reactor studied by infrared diode laser spectroscopy,10.1116/1.580255
Intracavity absorption spectroscopy of the third stretching overtone transition of jet cooled methane,10.1063/1.469325
Laboratory measurements of absorption coefficients for the 727 nm band of methane at 77 K and comparison with results derived from spectra of the Giant planets,10.1016/0022-4073(95)00102-q
Analysis of an Overtone Band of CH3D at 11 931 cm−1,10.1006/jmsp.1995.1070
Diode-Laser Measurements of N2-Broadening Coefficients in the ν3 Band of CH3D,10.1006/jmsp.1995.1139
Direct measurement of rotational and vibrational relaxation in methane overtone levels by time-resolved infrared double-resonance spectroscopy,10.1063/1.467871
Measurement of pressure-broadening and lineshift coefficients at 77 and 296 K of methane lines in the 727 NM band using intracavity laser spectroscopy,10.1016/0022-4073(94)90140-6
Temperature dependence of Lorentz air-broadening and pressure-shift coefficients of 12CH4 lines in the 2.3-μm spectral region,10.1016/0022-4073(94)90146-5
The intensity and pressure broadening of the 681.884 nm methane absorption line at low temperatures determined by intracavity laser spectroscopy,10.1016/0022-4073(94)90045-0
Conservation of the Nuclear Spin Modification of CH4 in the Cooling Process by Supersonic Jet Expansion,10.1006/jmsp.1994.1074
New Analysis of the Pentad System of Methane and Prediction of the (Pentad-Pentad) Spectrum,10.1006/jmsp.1994.1293
"Dipole moment function and equilibrium structure of methane in an analytical, anharmonic nine-dimensional potential surface related to experimental rotational constants and transition moments by quantum Monte Carlo calculations",10.1063/1.467544
Measurements of the Rotational and Vibrational Zeeman Effect of Methane by Magnetic Vibrational Circular Dichroism,10.1021/j100066a009
Intensity measurements of methane lines in the 727 nm band studied by intracavity laser spectroscopy at temperatures down to 77 K,10.1016/0009-2614(94)01022-6
Measurement of hydrogen-broadened methane lines in the ν4 band at 296 and 200 K,10.1016/0022-4073(93)90073-q
"Air-, N2-, and O2-broadening and shift coefficients in the ν3 spectral region of 12CH4",10.1016/0022-4073(93)90131-z
High-Resolution Spectroscopy of (Pentad-Dyad) and (Octad-Pentad) Hot Bands of Methane in a Supersonic Jet,10.1006/jmsp.1993.1249
Hydrogen broadening and collision-induced line shifts of methane at 4200 cm-1,10.1016/0022-4073(93)90019-e
