title,doi
Quantifying methane vibrational and rotational temperature with Raman scattering,10.1016/j.jqsrt.2019.07.005
Improved line list of 12CH4 in the 8850–9180 cm−1 region,10.1016/j.jqsrt.2019.106646
Improved line list of 12CH4 in the 3760–4100 cm−1 region,10.1016/j.jqsrt.2018.12.034
CO2-broadening coefficients in the ν3 fundamental band of methane,10.1016/j.jms.2018.12.004
Speed-dependent line mixing in the ν3 band Q branch of methane,10.1016/j.jqsrt.2018.10.038
Accurate measurements of line strengths and air-broadening coefficients in methane around 1.66 µm using cavity ring down spectroscopy,10.1016/j.jqsrt.2018.10.040
High-precision measurements of nitrous oxide and methane in air with cavity ring-down spectroscopy at 7.6 µm,10.5194/amt-12-2851-2019
H2-induced pressure broadening and pressure shift in the P-branch of the ν3 band of CH4 from 300 to 655 K,10.1016/j.jqsrt.2019.106649
"Lineshape test on overlapped transitions (R9F1, R9F2) of the 2v3 band of 12CH4 by frequency-stabilized cavity ring-down spectroscopy",10.1016/j.jqsrt.2018.02.019
Multispectrum analysis of air-broadened spectra in the ν3 Q branch of 12CH4,10.1016/j.jqsrt.2017.12.005
"Assignment and modelling of 12CH4 spectra in the 5550–5695, 5718–5725 and 5792–5814 cm−1 regions",10.1016/j.jqsrt.2018.08.006
Laser absorption spectroscopy of methane at 1000 K near 1.7 µm: A validation test of the spectroscopic databases,10.1016/j.jqsrt.2018.04.032
Methane line shapes and spectral line parameters in the 5647 – 6164 cm−1 region,10.1016/j.jqsrt.2017.12.006
"Raman spectrum of methane in nitrogen, carbon dioxide, hydrogen, ethane, and propane environments",10.1016/j.saa.2017.10.058
Extended sub-Doppler resolution spectroscopy of the ν3 band of methane,10.1016/j.jqsrt.2018.04.033
The methane absorption spectrum near 1.73 µm (5695–5850 cm−1): Empirical line lists at 80 K and 296 K and rovibrational assignments,10.1016/j.jqsrt.2018.04.007
Methane Absorption Spectroscopy with a Hybrid III-V Silicon External Cavity Laser,10.1364/cleo_si.2018.sth1b.2
Measurements and modeling of long-path 12CH4 spectra in the 5300–5550 cm−1 region,10.1016/j.jqsrt.2017.07.030
Analysis of the absorption spectrum of 12CH4 in the region 5855–6250 cm−1 of the 2ν3 band,10.1016/j.jqsrt.2017.05.014
Determination of foreign broadening coefficients for Methane Lines Targeted by the Tunable Laser Spectrometer (TLS) on the Mars Curiosity Rover,10.1016/j.jqsrt.2017.01.035
Spectral lines of methane measured up to 2.6 THz at sub-MHz accuracy with a CW-THz photomixing spectrometer: Line positions of rotational transitions induced by centrifugal distortion,10.1016/j.jqsrt.2017.04.010
Raman Spectrum of Methane in the Range 20–40oC,10.1007/s10812-017-0486-3
Methane absorption spectroscopy on a silicon photonic chip,10.1364/optica.4.001322
High sensitive scheme for methane remote sensor based on tunable diode laser absorption spectroscopy,10.7498/aps.66.100702
Spectroscopic line parameters of 12 CH 4 for atmospheric composition retrievals in the 4300–4500 cm −1 region,10.1016/j.jqsrt.2016.03.024
"Pressure dependence of peak positions, half widths, and peak intensities of methane Raman bands (<i>ν</i><sub>2</sub>, 2<i>ν</i><sub>4</sub>, <i>ν</i><sub>1</sub>, <i>ν</i><sub>3</sub>, and 2<i>ν</i><sub>2</sub>)",10.1002/jrs.5141
Spectral line parameters including line shapes in the 2ν3 Q branch of 12CH4,10.1016/j.jqsrt.2015.12.009
Isolated line shape of methane with various collision partners,10.1016/j.jqsrt.2016.07.017
Analyses and modeling of the 12CH4 spectrum at 80 K between 6539 and 6800 cm−1,10.1016/j.jqsrt.2015.09.014
Measurements of H2O broadening coefficients of infrared methane lines,10.1016/j.jqsrt.2015.12.015
Investigation of ro‐vibrational spectra of small hydrocarbons at elevated temperatures using infrared degenerate four‐wave mixing,10.1002/jrs.4862
Absolute molecular transition frequencies measured by three cavity-enhanced spectroscopy techniques,10.1063/1.4952651
Impact of difference in absorption line parameters in spectroscopic databases on CO2 and CH4 atmospheric content retrievals,10.1016/j.jms.2016.07.001
Silicon photonic on-chip trace-gas spectroscopy of methane,10.1364/cleo_si.2016.sf2h.1
Open-path sensor for atmospheric methane based on chirped laser dispersion spectroscopy,10.1007/s00340-014-5938-3
High-temperature measurements of methane and acetylene using quantum cascade laser absorption near 8 μm,10.1016/j.jqsrt.2015.01.009
An empirical line list for methane in the 1.25μm transparency window,10.1016/j.jms.2014.12.020
Self- and air-broadened line shapes in the 2ν3 P and R branches of 12CH4,10.1016/j.jms.2015.05.003
"An empirical line list for methane near 1µm (9028–10,435cm−1)",10.1016/j.jqsrt.2015.07.003
GOSAT-2014 methane spectral line list,10.1016/j.jqsrt.2014.12.003
"Infrared spectroscopy at high temperature : N2- and O2-broadening coefficients in the <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si1.gif"" overflow=""scroll""><mml:mrow><mml:msub><mml:mrow><mml:mi>ν</mml:mi></mml:mrow><mml:mrow><mml:mn>4</mml:mn></mml:mrow></mml:msub></mml:mrow></mml:math> band of CH4",10.1016/j.jms.2015.06.001
Self- and air-broadened line shape parameters in the ν2+ν3 band of 12CH4: 4500–4630cm−1,10.1016/j.jqsrt.2014.11.011
"Raman spectra of methane, ethylene, ethane, dimethyl ether, formaldehyde and propane for combustion applications",10.1016/j.jqsrt.2015.04.018
N2-shift coefficients in the ν3 band of 12CH4 at room temperature,10.1016/j.jms.2013.12.004
"Air- and self-broadened half widths, pressure-induced shifts, and line mixing in the ν2 band of 12CH4",10.1016/j.jqsrt.2013.08.004
"Absorption cross-section measurements of methane, ethane, ethylene and methanol at high temperatures",10.1016/j.jms.2014.06.007
CO2-broadening coefficients in the ν4 fundamental band of methane at room temperature and application to CO2-rich planetary atmospheres,10.1016/j.jms.2014.01.006
"Intensities, broadening and narrowing parameters in the ν 3 band of methane",10.1016/j.jqsrt.2014.08.008
Measurements and modeling of long-path 12CH4 spectra in the 4800–5300cm−1 region,10.1016/j.jqsrt.2014.02.005
High resolution heterodyne spectroscopy of the atmospheric methane NIR absorption,10.1364/oe.22.013825
Analysis and demonstration of atmospheric methane monitoring by mid-infrared open-path chirped laser dispersion spectroscopy,10.1364/oe.22.0a1731
Measurements of the broadening and shift parameters of methane spectral lines in the 5550–6140cm−1 region induced by pressure of carbon dioxide,10.1016/j.jqsrt.2014.05.027
Survey of the high resolution infrared spectrum of methane (12CH4 and 13CH4): Partial vibrational assignment extended towards 12 000 cm−1,10.1063/1.4899263
In Situ Measurement of Dissolved Methane and Carbon Dioxide in Freshwater Ecosystems by Off-Axis Integrated Cavity Output Spectroscopy,10.1021/es500987j
Laser-induced grating spectroscopy of highly excited overtone and combination vibrational states of methane,10.1016/j.jms.2013.04.005
High resolution spectroscopy and the first global analysis of the Tetradecad region of methane 12CH4,10.1039/c3cp50799h
Spectroscopy of jet-cooled methane in the lower icosad region: Empirical assignments of low-J″ spectral lines from two-temperature analysis,10.1016/j.jms.2013.06.002
New assignments in the 2μm transparency window of the 12CH4 Octad band system,10.1016/j.jqsrt.2012.08.025
Broad-band frequency references in the near-infrared: Accurate dual comb spectroscopy of methane and acetylene,10.1016/j.jqsrt.2012.11.024
