title,doi
The methane ν1(a1) vibrational state rotational structure obtained from high-resolution CARS-spectra of the Q-branch,10.1016/0022-2852(79)90191-7
Spectral intensities in the ν3 bands of 12CH4 and 13CH4,10.1016/0022-2852(79)90196-6
Extended measurement and analysis of the ν3 infrared band of methane,10.1016/0022-2852(79)90183-8
Intensity perturbations due to ν3/ν4 Coriolis interaction in methane,10.1016/0022-2852(79)90195-4
The high resolution spectrum of CH4: The Q branch of the ν4 band,10.1016/0022-2852(79)90044-4
Intracavity laser detection of ammonia and methane absorption spectra in the region 6000–6500 Å,10.1016/0022-4073(79)90105-5
High resolution spectroscopy of the ν4 band of methane,10.1016/0022-2852(79)90043-2
High-resolution coherent stokes Raman spectroscopy of theν 1 andν 3 bands of methane,10.1007/bf00934415
The structure of Q branches in infrared-active fundamental-type bands of spherical-top molecules,10.1016/0022-2852(79)90231-5
ν4 Band of methane (12CH4 and 13CH4). Line parameters and evaluation of Jovian atmospheric transmission at 7.7 μm,10.1016/0022-2852(78)90090-5
Measurements of temperatures and OH-concentrations in a lean methane-air flame using high-resolution laser-absorption spectroscopy,10.1016/0022-4073(78)90008-0
Rotational tunnelling of methane on the surface of graphitized carbon blacks studied by neutron scattering spectroscopy,10.1016/0009-2614(78)85020-9
"Intensity measurements of the CH4 bands in the region 4350 Å to 10,600 Å",10.1016/0022-4073(78)90064-x
Line intensities of methane in the 2700–2862-cm−1 region,10.1016/0022-2852(78)90241-2
Absorption of the 3.39 μm He-Ne laser line by methane from 300 to 2400 K,10.1016/0022-4073(78)90083-3
Cw stimulated Raman gain spectroscopy of the ν1 fundamental of methane,10.1016/0009-2614(78)85638-3
Raman spectrum of 12CH4 between 2850 and 3100 cm−1,10.1016/0022-2852(77)90320-4
"Photoelectric absorption spectra of methane (CH4), methane and hydrogen (H2) mixtures, and ethane (C2H6)",10.1016/0022-4073(77)90076-0
"Absolute Raman intensities of CH4, CH3D, CH2D2, CHD3, and CD4",10.1016/0022-2852(77)90274-0
Intensity measurements in the v4-fundamental of methane,10.1016/0022-4073(77)90001-2
Line positions and strengths of methane in the 2862 to 3000 cm−1 region,10.1016/0022-2852(77)90031-5
Infrared absorption intensities of methane and fluoromethanes,10.1016/0584-8539(76)80094-3
"Cw high-resolution car spectroscopy of H2, D2, and CH4",10.1016/0030-4018(76)90451-x
Photoacoustic detection spectroscopy with dye laser excitation. The 6190 Å CH4 and the 6450 Å NH3 bands,10.1016/0009-2614(76)85216-5
High resolution saturated absorption studies of methane and some methyl-halides,10.1007/3540077197_21
A study of the 3ν3CH4 region in a high-resolution spectrum of Jupiter recorded by Fourier transform spectroscopy,10.1016/0019-1035(76)90059-2
cw high resolution CAR spectroscopy of the <i>Q</i> (ν1) Raman line of methane,10.1063/1.433015
The ground state of methane 12CH4 through the forbidden lines of the ν3 band,10.1016/0022-2852(75)90028-4
Doppler-limited spectra of the ν3 vibration of 12CH4 and 13CH4,10.1016/0022-2852(75)90014-4
The forbidden (J → J + 1) spectrum of CH4 in the ground vibronic state,10.1016/0022-2852(75)90208-8
The fine structure of the ν2 band of CH4 obtained by means of a stabilizated Raman laser spectrograph,10.1016/0022-2852(75)90246-5
"CH4: Tunneling states, rotations, and phase transition in a quantum molecular crystal",10.1016/0038-1098(75)90465-2
Measurement of the frequency of the methane-stabilised laser at 3.39 µm and of the R(32) transition of CO2 at 10.17 µm,10.1038/254584a0
Structure constants for the ground state of methane 12CH4,10.1016/0022-2852(74)90281-1
Measurement of intensities of multiplets in the 2ν3-band of methane at low temperatures,10.1016/0022-4073(74)90076-4
Measurement of multiplet intensities and noble gas-broadened line widths in the V3-fundamental of methane,10.1016/0022-4073(74)90011-9
Anharmonicity in polyatomic molecules: A local-mode analysis of the XH-stretching overtone spectra of ammonia and methane,10.1016/0022-2852(74)90217-3
Tabulation of hyperfine splittings in rotational F1 and F2 levels of the ground vibrational state of 12CH4 for J ≤ 20,10.1016/0022-2852(73)90060-x
The observation of a pure rotational Q-branch transition of methane by infrared-radio frequency double resonance,10.1016/0022-2852(73)90066-0
Infrared-radio frequency double resonance observations of pure rotational Q-branch transitions of methane,10.1016/0022-2852(73)90145-8
High resolution Raman spectroscopy of CH4,10.1016/0022-2852(73)90161-6
Saturated Absorption Spectroscopy with Applications to the 3.39 μm Methane Transition,10.1007/978-1-4684-2961-9_40
Analysis of the ν4 band of CH4,10.1016/0022-2852(73)90217-8
Line strength measurements of the 2ν3 band of methane,10.1016/0022-4073(73)90082-4
The temperature dependence of the half widths of some self-and foreign-gas-broadened lines of methane,10.1016/0022-4073(73)90071-x
"The absorption cross sections of N2, O2, CO, NO, CO2, N2O, CH4, C2H4, C2H6 and C4H10 from 180 to 700Å",10.1016/0022-4073(73)90075-7
Sextic centrifugal distortion of tetrahedral molecules,10.1016/0022-2852(73)90018-0
Coriolis constants of spherical-top molecules from low-temperature infrared studies of vapor band contours,10.1016/0022-2852(73)90190-2
CHD2 spectra and Fermi resonance effects in the CH3 and CD3 stretching regions. Symmetrical CH3 groups,10.1016/0584-8539(73)80106-0
Accurate frequencies of molecular transitions used in laser stabilization: the 3.39-μm transition in CH4 and the 9.33- and 10.18-μm transitions in CO2,10.1063/1.1654607
Tunable cw Pb0.98 Cd0.02S diode lasers emitting at 3.5 μm: Applications to ultrahigh-resolution spectroscopy,10.1063/1.1654550
Microwave Spectroscopy of the Vibrationally Excited State of Molecules by Infrared-Microwave Double Resonance,10.1143/jjap.12.603
Experimental and theoretical studies on collision-broadened lines in the v4-fundamental of methane,10.1016/0022-4073(72)90073-8
Infrared absorption of methane at high resolution between 1225 and 1400 cm−1,10.1016/0022-2852(72)90131-2
Collision-broadened half-widths and shapes of methane lines,10.1016/0022-4073(71)90149-x
Self-broadened half-widths and pressure shifts for the R-branch J-manifolds of the 3v3 methane band,10.1016/0022-4073(71)90163-4
Rotational line width of methane,10.1016/0022-4073(71)90112-9
Precision Stark Spectroscopy of CH4 by Nonlinear Laser Absorption,10.1063/1.1675391
"Astronomical infrared spectroscopy with a Connes-type interferometer: II-Mars, 2500–3500 cm−1",10.1016/0019-1035(71)90027-3
"Measurement of the absorption strength of the methane 3v3, J-manifolds at 9050 cm-1",10.1016/0022-4073(70)90038-5
Infrared absorption spectrum of methane from 2884 to 3141 cm−1,10.1016/0022-2852(70)90224-9
