title,doi
Saturation Spectrum of the ν2/ν4Dyad of AsH3,10.1006/jmsp.1997.7490
The high resolution spectrum of AsH3 (400) local mode state: symmetry reduction and rotational re-quantization,10.1016/s1386-1425(98)00157-7
High-Resolution Spectroscopic Study of the (310) Local Mode Combination Band System of AsH3,10.1006/jmsp.1997.7463
High resolution spectroscopic study of arsine in the region 6000–6500 cm−1,10.1016/s1386-1425(98)00172-3
High resolution vibration-rotation spectrum of arsine ν = 2 stretching overtone,10.1016/s0584-8539(96)01799-0
High resolution photoacoustic spectrum of AsH3 () bands,10.1016/s1386-1425(97)00067-x
High resolution vibration—rotation spectrum of arsine v = 2 stretching overtone,10.1016/s1386-1425(96)01799-4
Ground State Rotational Energies of Arsine,10.1006/jmsp.1996.0151
"Vibrational spectra of phosphine and arsine in the gas phase, the liquid phase, and in the solution of liquefied argon",10.1016/0584-8539(95)01555-8
Line Positions and Intensities in the Vibrational System 2ν2/ν2 + ν4/2ν4/ν1/ν3 of Arsine,10.1006/jmsp.1995.1181
High-Resolution Fourier Transform Spectra of AsH3: Transitions to the Interacting Sublevels of the v4 = 2 State,10.1006/jmsp.1995.1182
Quadrupole Hyperfine and A1-A2 Splitting in the ν2 Fundamental of Arsine,10.1006/jmsp.1994.1031
"High-Resolution Fourier Transform Spectra of AsH3: The Vibrational Bands 2ν2(A1), ν2 + ν4(E), ν1(A1), and ν3(E)",10.1006/jmsp.1993.1012
Absolute Infrared Intensities in the Fundamentals ν1 and ν3 of Arsine,10.1006/jmsp.1993.1143
"Hyperfine Structure Analysis of Arsine in the Ground, v2 = 1, and v4 = 1 States",10.1006/jmsp.1993.1033
