title,doi
The vibrational ground state of 12CH4 and 13CH4,10.1016/0022-2852(89)90192-6
Linestrengths of the ν2 and ν4 bands of 12CH4 and 13CH4,10.1016/0022-2852(89)90194-x
Analysis of the dyad of 12CH4 and 13CH4,10.1016/0022-2852(89)90193-8
Absolute intensity measurements in the v4-fundamental band of 12CH4 at planetary atmospheric temperatures,10.1016/0022-4073(89)90063-0
Measurements of collision-broadened line widths in the v4-fundamental band of 12CH4 at low temperatures,10.1016/0022-4073(89)90062-9
High temperature absorption of the 3.39 μm He-Ne Laser line by Methane,10.1016/0022-4073(89)90036-8
High-resolution overtone spectroscopy of SiH4 and SiHD3 (ΔνSiH=6) and CH4 (ΔνCH=5),10.1016/0301-0104(89)87146-0
Methane overtone absorption by intracavity laser spectroscopy,10.1016/0009-2614(89)87495-0
Superhigh resolution spectroscopy in methane with cold molecules,10.1007/bf00694414
Infrared double-resonance lineshapes in strongly pumped spherical-top molecules,10.1016/0584-8539(89)80021-2
"Measurements of argon-, helium-, hydrogen-, and nitrogen-broadened widths of methane lines near 9000 cm−1",10.1016/0022-4073(88)90092-1
"High-resolution interferometric Fourier transform infrared absorption spectroscopy in supersonic free jet expansions: carbon monoxide, nitric oxide, methane, ethyne, propyne, and trifluoromethane",10.1021/j100330a025
"Measurement of Raman gain coefficients of hydrogen, deuterium, and methane",10.1109/3.8545
Measurement and analysis of the far infrared absorption spectrum of the gaseous mixture H2-CH4,10.1016/0022-4073(87)90085-9
Integrated infrared intensities of methane,10.1016/0022-4073(87)90013-6
The millimeter-wave spectrum of methane,10.1016/0022-2852(87)90013-0
"Infrared spectroscopy of CH4, CH2D2 and CD4 adsorbed on sodium chloride films",10.1016/0022-2860(87)87091-6
Self-broadened widths and absolute strengths of 12CH4 lines in the 1310–1370 cm-1 region,10.1016/0022-4073(86)90061-0
Parameters of reduced Hamiltonian and invariant parameters of interacting E and F2 fundamentals of tetrahedral molecules: ν2 and ν4 bands of 12CH4 and 28SiH4,10.1016/0022-2852(86)90070-6
Further analysis of effective Hamiltonians for triply degenerate fundamentals of tetrahedral molecules: Unambiguous fit of q2J5 and q2J6 terms for ν4 of 12CH4,10.1016/0022-2852(86)90095-0
Temperature dependence of the far-infrared absorption spectrum of gaseous methane,10.1016/0022-4073(86)90079-8
Pressure broadening of methane lines in the 6190Åand 6825Åbands at room and low temperatures,10.1016/0022-4073(86)90038-5
Coherent anti-Stokes Raman spectroscopy (CARS) of thev 3 band of methane in supersonic molecular beams,10.1007/bf00693919
Quantum-mechanical wavepacket dynamics of the CH group in symmetric top X3CH compounds using effective Hamiltonians from high-resolution spectroscopy,10.1039/f29868201173
Pure rotational spectra of methane and methane-d4 in the vibrational ground state observed by microwave Fourier transform spectroscopy,10.1016/0022-2852(85)90215-2
Line strengths of the ν3 - ν4 band of methane,10.1016/0022-2852(85)90075-x
Infrared radiation properties of methane at elevated temperatures,10.1016/0022-4073(85)90137-2
"Measurements of nitrogen-, hydrogen- and helium-broadened widths of methane lines at 9030–9120 cm-1",10.1016/0022-4073(85)90157-8
Double resonance spectroscopy in methane,10.1080/00268978500101691
