title,doi
Highly sensitive measurement of trace methane gas using mid‐infrared tunable diode laser absorption spectroscopy method,10.1002/mop.33701
Temperature dependence of line shape parameters for N2- and O2-broadened methane lines by quantum cascade laser spectroscopy,10.1016/j.jqsrt.2024.109150
Empirical rovibrational energy levels for methane,10.1016/j.jqsrt.2024.108897
"Pressure broadening in Raman spectra of CH4–N2, CH4–CO2, and CH4–C2H6 gas mixtures",10.1016/j.saa.2023.122396
"Simultaneous high-precision, high-frequency measurements of methane and nitrous oxide in surface seawater by cavity ring-down spectroscopy",10.3389/fmars.2023.1197727
Application of cavity ring-down spectroscopy and a novel near surface Gaussian plume estimation approach to inverse model landfill methane emissions,10.1016/j.mex.2023.102048
A methane line list with sub-MHz accuracy in the 1250 to 1380 cm−1 range from optical frequency comb Fourier transform spectroscopy,10.1016/j.jqsrt.2022.108252
Improved line list of 12CH4 in the 4100–4300 cm−1 region,10.1016/j.jqsrt.2021.108021
Multi-parameter methane measurement using near-infrared tunable diode laser absorption spectroscopy based on back propagation neural network,10.1016/j.infrared.2022.104275
Theoretical and experimental investigation of on-chip mid-infrared chalcogenide waveguide CH4 sensor based on wavelength modulation spectroscopy,10.1016/j.snb.2022.131782
Quantum cascade laser measurements of CH4 linestrength and temperature-dependent self-broadening and narrowing parameters at 7.16 µm,10.1016/j.jqsrt.2021.107901
Dual frequency comb absorption spectroscopy of CH4 up to 1000 Kelvin from 6770 to 7570 cm-1,10.1016/j.jqsrt.2021.107812
"Line-strengths, collisional coefficients and narrowing parameters in the ν3 band of methane: H2, He, N2, O2, Ar and CO2 collider effects",10.1016/j.jqsrt.2021.107758
Thermometry and speciation for high-temperature and -pressure methane pyrolysis using shock tubes and dual-comb spectroscopy,10.1088/1361-6501/ac22ef
Impact of Residual Water Vapor on the Simultaneous Measurements of Trace CH4 and N2O in Air with Cavity Ring-Down Spectroscopy,10.3390/atmos12020221
Estimation of the impact of differences in the CH4 absorption line parameters on the accuracy of methane atmospheric total column retrievals from ground-based FTIR spectra,10.1016/j.jqsrt.2020.107187
Line list of 12CH4 in the 4300–4600 cm−1 region,10.1016/j.jqsrt.2020.107061
Impact of H2O on atmospheric CH4 measurement in near-infrared absorption spectroscopy,10.1016/j.saa.2020.118383
Measurement of the spectral line positions in the 2v3 R(6) manifold of methane,10.1016/j.jqsrt.2020.106888
A method of low concentration methane measurement in tunable diode laser absorption spectroscopy and Levenberg-Marquardt algorithm,10.1016/j.ijleo.2020.165657
In situ Raman quantitative detection of methane concentrations in deep‐sea high‐temperature hydrothermal vent fluids,10.1002/jrs.5981
Temperature-dependent line mixing in the R-branch of the v3 band of methane,10.1016/j.jqsrt.2020.107271
H2-pressure broadening and frequency shifts of methane in the v2+v3 band measured in the temperature range between 80 and 370 K,10.1016/j.jqsrt.2020.107264
"Compact dual-gas sensor for simultaneous measurement of atmospheric methane, and water vapor using a 3.38 μm antimonide-distributed feedback laser diode",10.1016/j.saa.2019.117605
